Дата,Участок,Наименование оборудования,Узел,Описание коренной причины,Работы по устранению неисправностей,description,recommendation
2022-05-16 00:00:00,ЭК,ДГУ №1,Система охлаждения ДГУ,"Износ сальникового уплотнения,подшипника.",Демонтаж замена,"ЭК ДГУ №1 Система охлаждения ДГУ Износ сальникового уплотнения,подшипника.",Демонтаж замена
2022-05-25 00:00:00,ЭК,ДГУ №4,Котел утилизатор,Течь водогрейных трубок.,Ремонт (сварочные работы).,ЭК ДГУ №4 Котел утилизатор Течь водогрейных трубок.,Ремонт (сварочные работы).
2022-06-09 00:00:00,ЭК,ДГУ №4,Система охлаждения ДГУ,"Износ сальникового уплотнения,подшипника.",Демонтаж замена,"ЭК ДГУ №4 Система охлаждения ДГУ Износ сальникового уплотнения,подшипника.",Демонтаж замена
2022-07-10 00:00:00,ЭК,Насос шестеренный ,Насосный агрегат,Износ,"Демонтаж,разборка,замена подшипников",ЭК Насос шестеренный  Насосный агрегат Износ,"Демонтаж,разборка,замена подшипников"
2022-09-04 00:00:00,ЭК,ДГУ №4,Топливная система,Износ,"Демонтаж,разборка,замена на резервный",ЭК ДГУ №4 Топливная система Износ,"Демонтаж,разборка,замена на резервный"
2022-09-04 00:00:00,ЭК,ДГУ №6,Топливная система,Износ,"Демонтаж,разборка,замена на резервный",ЭК ДГУ №6 Топливная система Износ,"Демонтаж,разборка,замена на резервный"
2022-10-01 00:00:00,ЭК,Шламовая емкость 3 м.куб.,Насосное оборудование,Износ,"Демонтаж,разборка.",ЭК Шламовая емкость 3 м.куб. Насосное оборудование Износ,"Демонтаж,разборка."
2022-10-22 00:00:00,ЭК,Насос винтовой ,Насосный агрегат,Износ,"Демонтаж,разборка,замена винтовой пары,замена вращающегося уплотнения",ЭК Насос винтовой  Насосный агрегат Износ,"Демонтаж,разборка,замена винтовой пары,замена вращающегося уплотнения"
2022-10-25 00:00:00,ЭК,Насос шестеренный ,Насосный агрегат №2,Износ,"Демонтаж,разборка,замена подшипников",ЭК Насос шестеренный  Насосный агрегат №2 Износ,"Демонтаж,разборка,замена подшипников"
2022-10-29 00:00:00,ЭК,Насос шестеренный ,Насосный агрегат №1,Износ,"Демонтаж,разборка,замена подшипников",ЭК Насос шестеренный  Насосный агрегат №1 Износ,"Демонтаж,разборка,замена подшипников"
2022-11-06 00:00:00,ЭК,Насос  ,Насосный агрегат №1,Износ,"Демонтаж,разборка",ЭК Насос   Насосный агрегат №1 Износ,"Демонтаж,разборка"
2022-11-18 00:00:00,ЭК,Насос  ,Насосный агрегат,Износ,"Демонтаж,установка резервного",ЭК Насос   Насосный агрегат Износ,"Демонтаж,установка резервного"
